0.2039,0.0973,0.6695,0.0214,0.0079,,0.1597,0.0525,0.7569,0.0304,0.0005,,0.2951,0.0004,0.6885,0.0159,0,,0.1824,0.01,0.7768,0.0308,0,,0.1067,0.4845,0.4087,0,0.0001,,0.1653,0.0496,0.4601,0,0.325,,0.2087,0.002,0.7195,0.0684,0.0014,,0.1204,0.2844,0.4873,0.0003,0.1077,,0.2161,0.2038,0.5027,0.0005,0.0769,,0.0227,0.7069,0.2704,0,0
0.0008,0.9332,0.0606,0.0019,0.0036,,0.0008,0.9033,0.092,0.002,0.0019,,0.0022,0.9364,0.0541,0.0014,0.0059,,0.0011,0.8847,0.1096,0.0023,0.0023,,0.0005,0.98,0.0169,0,0.0026,,0.0003,0.9587,0.0286,0.0001,0.0124,,0.0014,0.8339,0.1539,0.0093,0.0015,,0.0013,0.9441,0.0487,0,0.0059,,0.001,0.9675,0.0278,0.0002,0.0034,,0,0.9877,0.0123,0,0
0.0179,0.1127,0.7695,0.0491,0.0508,,0.0164,0.0766,0.8207,0.0507,0.0357,,0.0464,0.1105,0.7549,0.0363,0.052,,0.015,0.0837,0.8053,0.0442,0.0518,,0.0544,0.2179,0.7111,0.0068,0.0098,,0.0268,0.126,0.7361,0.0083,0.1029,,0.0293,0.035,0.8054,0.1069,0.0235,,0.0369,0.1122,0.7858,0.0032,0.062,,0.0769,0.155,0.6973,0.0115,0.0593,,0.0193,0.2689,0.709,0.0023,0.0005
0.0049,0.0194,0.1922,0.7662,0.0172,,0.0065,0.0343,0.2486,0.7081,0.0025,,0.0097,0.0527,0.2281,0.7061,0.0034,,0.002,0.0039,0.2095,0.7813,0.0033,,0.0162,0.1398,0.4826,0.3557,0.0057,,0.0046,0.0411,0.4749,0.4728,0.0065,,0.0031,0.0006,0.0979,0.8963,0.0021,,0.0104,0.0442,0.6843,0.2569,0.0043,,0.0483,0.0348,0.4441,0.4685,0.0043,,0.0142,0.0581,0.6654,0.2622,0.0001
0.0028,0.0699,0.0469,0,0.8805,,0.0169,0.0517,0.1344,0.0006,0.7965,,0.0029,0.0456,0.0176,0,0.9339,,0.0007,0.064,0.0151,0,0.9201,,0.0098,0.2557,0.0317,0,0.7028,,0,0.0589,0.0109,0,0.9302,,0.0086,0.0182,0.1472,0,0.8261,,0.0023,0.0611,0.0299,0,0.9068,,0.0041,0.1398,0.0138,0,0.8423,,0.016,0.2136,0.3055,0.0038,0.4612
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0023,0.0714,0.5546,0.3717,0,,0.0042,0.0271,0.6118,0.3568,0,,0,0.0046,0.3558,0.6396,0,,0.0011,0.001,0.4131,0.5848,0,,0.0159,0.1975,0.6792,0.1064,0.0011,,0,0.069,0.6848,0.2453,0.0009,,0,0,0.2992,0.7008,0,,0,0.0367,0.7688,0.1945,0,,0.0146,0.0269,0.7825,0.176,0,,0.0024,0.1583,0.7856,0.0537,0
0.0005,0.7031,0.1567,0.0693,0.0704,,0.0001,0.6591,0.1614,0.0989,0.0805,,0.0002,0.6946,0.1056,0.1053,0.0942,,0,0.6552,0.1327,0.1507,0.0613,,0.0001,0.8462,0.0655,0.0104,0.0777,,0,0.7681,0.1434,0.0353,0.0531,,0,0.4942,0.1661,0.2749,0.0648,,0.0002,0.6954,0.1922,0.0163,0.096,,0.0003,0.7576,0.1593,0.0151,0.0676,,0.0001,0.8204,0.1502,0.0197,0.0096
0.0197,0.0128,0.8627,0.1,0.0047,,0.0263,0.0093,0.8399,0.1205,0.004,,0.0453,0.0074,0.6232,0.1621,0.162,,0.003,0.0031,0.8347,0.1587,0.0006,,0.0215,0.0887,0.8568,0.0254,0.0076,,0.005,0.0151,0.7528,0.0525,0.1747,,0.0636,0.0005,0.7358,0.1994,0.0008,,0.0094,0.0094,0.9239,0.0305,0.0268,,0.0226,0.0113,0.9256,0.0299,0.0107,,0.0038,0.0281,0.9517,0.0163,0.0001
0.0002,0.0318,0.1729,0.7907,0.0044,,0,0.0229,0.1208,0.8502,0.0061,,0.0001,0.0105,0.0871,0.898,0.0043,,0,0.002,0.0705,0.9275,0,,0.0001,0.138,0.3462,0.4942,0.0216,,0,0.0477,0.2944,0.6566,0.0013,,0,0.0005,0.044,0.9547,0.0008,,0.0001,0.0245,0.455,0.5189,0.0015,,0.0004,0.0314,0.4309,0.5338,0.0034,,0,0.0576,0.5365,0.4058,0.0001
       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3743,0.0109,0.2085,0,0.4063,,0.5655,0.0152,0.4072,0,0.0121,,0.2744,0.1299,0.3614,0,0.2343,,0.2101,0.2216,0.5434,0,0.0249,,0.4793,0.1968,0.1104,0,0.2135,,0.0768,0.0076,0.0346,0,0.8809,,0.4362,0,0.4885,0,0.0753,,0.2058,0.0732,0.0362,0,0.6848,,0.2134,0.0312,0.0319,0,0.7235,,0.1728,0.4739,0.3533,0,0
0.0011,0.9803,0.0123,0,0.0063,,0.0017,0.9421,0.0465,0.0002,0.0096,,0.0014,0.9894,0.0077,0,0.0015,,0,0.9953,0.0045,0,0.0001,,0.0005,0.9968,0.0021,0,0.0006,,0,0.9699,0.0052,0,0.0248,,0.0018,0.9357,0.0546,0.0008,0.0072,,0.0003,0.9801,0.0067,0,0.0129,,0.0003,0.9864,0.0041,0,0.0092,,0.0002,0.9955,0.0043,0,0
0.0466,0.4273,0.4051,0.0001,0.1208,,0.0548,0.2771,0.5767,0.0002,0.0912,,0.0552,0.5462,0.342,0,0.0566,,0.01,0.7056,0.2601,0,0.0243,,0.056,0.6985,0.1839,0,0.0616,,0.0054,0.411,0.1557,0,0.4279,,0.0575,0.2212,0.6473,0.0012,0.0729,,0.032,0.5164,0.2333,0,0.2183,,0.0279,0.5019,0.1402,0,0.33,,0.0204,0.7461,0.2246,0.0001,0.0089
       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,      NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN
       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN,,       NaN,       NaN,       NaN,       NaN,       NaN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,0,,0,0,1,0,0,,0,0,1,0,0,,0,0,1,0,0,,0.0005,0.2256,0.7739,0,0,,0,0.0819,0.9177,0,0.0004,,0,0,0.9994,0.0006,0,,0,0,1,0,0,,0.0009,0,0.9991,0,0,,0,0.1261,0.8739,0,0
